index	title	release date	hero	heroine	director	genre	ratings
307	Wednesday	2008	nasarudeen shah	Deepal Shaw	Neeraj pandey	drama,mystry	8.1
308	Bhootnath	2008	Amitabh bachhan 	Juhi Chawala	vivek sharma	Comedy,Fantasy,Music	6.3
309	Fashion	2008	Arjan Bajwa	Priyanka Chopra	madhur bhandarkar	Drama	6.9
310	Mere Baap pehle aap	2008	akshaye khanna	genelia Desouza	Priyadarshan	comedy,drama,music	5.3
311	God tussi great ho	2008	Salman Khan	Priyanka Chopra	rumi jaffer	comedy,drama	3.6
312	one two three	2008	paresh raval	neetu chandra	ashwini dhir	comedy,music	5.2
313	kindnap	2008	Imran Khan	minissha lamba	Sanjay Gadhavi	thriller	4.6
314	karz	2008	himesh Reshamiyan	Urmila Matondkar	satish kaushik	thriller	2.1
315	Roadside romeo	2008	Saif Ali khan	Kareena Kapoor	jughal hansraj	Romance,comedy	5.2
316	ek vivah aisa bhi	2008	sonu sood	isha koppikar	kaushik ghatak	Drama	5.3
317	Mission istambul	2008	sunil shetty	shriya saran	apoorva lakhia	Drama 	3.4
318	hallabol	2008	Ajay devgan	Vidya Balan	rajkumar santoshi	Drama	6.1
319	Jab We Met	2007	Shahid Kapoor	Kareena Kapoor	Imtiaz Ali	Drama,music,comedy	7.9
320	Chak De! India	2007	Shahrukh khan	sagarika ghatge	shimim amim	Drama	8.2
321	Guru	2007	Abhishekh Bachchan	Aishwarya Rai	Mani ratnam	Drama,Romance	7.7
322	Welcome	2007	Akshay Kumar	Katrina Kaif	Anees Bazmee	Drama,Crime	6.8
323	Om Shanti Om	2007	Shahrukh khan	Deepika Padukone	Farah Khan	Drama,thriller	6.6
324	Namastey London	2007	Akshay kumar	Katrina kaif	vipul shah	Drama,Romance	7.1
325	Life in a Metro	2007	Shiney Ahuja	Shilpa shetty 	Anurag basu	Drama,Romance	7.4
326	Saawaraiya	2007	Ranbir Kapoor	Sonam Kapoor	Sanjay Leela Bhansali	drama	5.3
327	Bhool Bhulayyia	2007	Akshay kumar	Vidya Balan	Priyadarshan	thriller,mystry	7.2
328	Partner	2007	Salman Khan	Lara Dutta	David Dhavan	Comedy,Romance,Music	5.7
329	Bheja Fry	2007	vinay pathak	sarika	sagar ballary	comedy,mudic	7.6
330	Cheeni Kum	2007	amitabh bachhan 	tabu	R balki	Romance,Comedy	6.8
331	Shootout at Lokhandwala	2007	sanjay dutt	aarti chabria	apoorva lakhia	drama	7.1
332	Johny Gaddaar	2007	niel nitin mukesh	rimi sen	Sriram Raghwan	thriller	7.8
333	Dhamaal	2007	sanjay dutt	suhasini mulay	indra kumar	Comedy	7.2
334	Traffic Signal	2007	kunal khemu	neetu chandra	madhur bhandarkar	Romance	6.5
335	Heyy babby	2007	Akshay Kumar	Vidya Balan	Sajid Khan	comedy,Drama	5.9
336	Ta Ra Rum Pum	2007	Saif Ali khan	Rani Mukharjee	sidharth anand	Drama	5.6
337	Aaja Nachle	2007	kunal kapoor	Madhuri Dixit	Anil Mehta	Drama	6.3
338	Apne	2007	Sunny Deol	Katrina kaif	Anil Sharma	sport	6
339	Awarapan	2007	Emraan hashmi	shriya saran	Mohit Suri	Drama	7.2
340	Nishabdh	2007	Amitabh Bachhan 	Jiah Khan	Ram Gopal Varma	Drama	5.4
341	Salaam-E-ishq	2007	Salman Khan 	priyanka chopra	Nikkhil Advani	Drama,music,romance	5.1
342	Laaga Chunari mein Daag	2007	kunal kapoor	Rani Mukharjee	pradeep sarkar	drama	5.3
343	Manorama	2007	abhay deol	gul panag	navdeep singh	mystry,crime	7.7
344	Darling	2007	fardeen khan	isha koppikar	Ram Gopal Varma	Drama	3.8
345	No smoking	2007	John abraham	Aisha takiya	Anurag Kashyap	thriller,Drama	7.2
346	Ek chalis ki last local	2007	Abhay deol	Neha Dhupia	Sanjay Khundari	adventure	7.3
347	Dhan Dhana Dhan Goal	2007	john abraham	Bipasha Basu	Vivek Agnihotri	sport	4.9
348	Jhoom Barabar jhoom	2007	Abhishek bachhan 	prity zinta	shaad ali	drama	3.7
349	Ram Gopal Varma ki Aag	2007	ajay devgan	sushmita sen	Ram Gopal Varma	comedy,music	1.7
350	Cash	2007	ajay devgan	Dia Mirza	Anubhav Sinha	thriller,Drama	3.4
351	Good boy,Bad boy	2007	Emraan hashmi	tanushree dutta	ashwini chaudhary	comedy	3.7
352	Fool n Final	2007	Shahid Kapoor	Aisha takiya	Ahmed Khan	Action	3.3
353	Dil Dosti etc	2007	Shreyas talpade	Nikita Anand	Manish Tiwary	Comedy	7
354	Gandhi, My father	2007	akshaye khanna	bhumika chawala	feeroz abbas khan	Drama	73
355	HoneyMoon Travels pvt. ltd.	2007	abhay deol	Ramina sen	Reema khagti	Drama,Romance	6.1
356	Chhodo na Yaar	2007	jimmy shergil	kim sharma	dilip sood	thriller	4.7
357	Naqaab	2007	akshaye khanna	urvashi sharma	Mustan burmawala	thriller	5.3
